repo_name,owner_username,primary_language,stars_count,forks_count,watchers_count,open_issues_count,created_date,updated_date,license_type
tensorflow,tensorflow,C++,197059,76054,197059,2865,2015-11-07 01:19:20+00:00,2026-08-16 16:45:15+00:00,Apache License 2.0
transformers,huggingface,Python,164147,34254,164147,2381,2018-10-29 13:56:00+00:00,2026-08-16 16:45:07+00:00,Apache License 2.0
ML-For-Beginners,microsoft,Jupyter Notebook,89435,21954,89435,11,2021-03-03 01:34:05+00:00,2026-08-16 16:45:35+00:00,MIT License
funNLP,fighting41love,Python,82500,15267,82500,53,2018-08-21 11:20:39+00:00,2026-08-16 16:35:55+00:00,Unknown
awesome-machine-learning,josephmisiti,Python,74034,15612,74034,24,2014-07-15 19:11:19+00:00,2026-08-16 16:04:11+00:00,Other
scikit-learn,scikit-learn,Python,66961,27290,66961,2128,2010-08-17 09:43:38+00:00,2026-08-16 16:44:41+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
gradio,gradio-app,Python,43370,3574,43370,184,2018-12-19 08:24:04+00:00,2026-08-16 15:26:51+00:00,Apache License 2.0
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,Unknown,36302,7436,36302,67,2021-01-02 12:08:37+00:00,2026-08-16 15:51:30+00:00,Unknown
C-Plus-Plus,TheAlgorithms,C++,34582,7852,34582,32,2016-07-16 10:19:45+00:00,2026-08-16 12:46:04+00:00,MIT License
netron,lutzroeder,JavaScript,33361,3172,33361,16,2010-12-26 12:53:43+00:00,2026-08-16 16:39:49+00:00,MIT License
ML-From-Scratch,eriklindernoren,Python,32477,5430,32477,78,2017-02-05 12:11:23+00:00,2026-08-16 15:43:46+00:00,MIT License
applied-ml,eugeneyan,Unknown,30046,3990,30046,8,2020-07-04 18:57:47+00:00,2026-08-16 16:40:30+00:00,MIT License
machine-learning-for-software-engineers,ZuzooVn,Unknown,28860,6148,28860,32,2016-10-09 21:20:25+00:00,2026-08-15 19:57:02+00:00,Creative Commons Attribution Share Alike 4.0 International
linkedin-skill-assessments-quizzes,Ebazhanov,Python,28812,12915,28812,21,2019-07-13 19:52:56+00:00,2026-08-16 15:17:37+00:00,GNU Affero General Public License v3.0
cs249r_book,harvard-edge,Python,27937,3525,27937,32,2023-09-06 19:31:06+00:00,2026-08-16 16:03:01+00:00,Other
shap,shap,Jupyter Notebook,25686,3741,25686,1013,2016-11-22 19:17:08+00:00,2026-08-16 11:03:39+00:00,MIT License
homemade-machine-learning,trekhleb,Jupyter Notebook,24758,4195,24758,31,2018-11-01 04:34:19+00:00,2026-08-16 13:19:22+00:00,MIT License
Paddle,PaddlePaddle,C++,24053,6014,24053,1522,2016-08-15 06:59:08+00:00,2026-08-16 15:48:15+00:00,Apache License 2.0
best-of-ml-python,lukasmasuch,Unknown,23716,3140,23716,52,2020-11-29 19:41:36+00:00,2026-08-16 15:57:54+00:00,Creative Commons Attribution Share Alike 4.0 International
C,TheAlgorithms,C,22332,4767,22332,18,2016-07-16 10:17:03+00:00,2026-08-16 13:39:03+00:00,GNU General Public License v3.0
onnx,onnx,Python,21318,3999,21318,278,2017-09-07 04:53:45+00:00,2026-08-16 16:22:59+00:00,Apache License 2.0
rasa,RasaHQ,Python,21296,4919,21296,153,2016-10-14 12:27:49+00:00,2026-08-16 11:07:02+00:00,Apache License 2.0
video2x,k4yt3x,C++,20943,1814,20943,129,2018-02-24 16:34:41+00:00,2026-08-16 16:33:54+00:00,GNU Affero General Public License v3.0
awesome-production-machine-learning,EthicalML,Unknown,20847,2590,20847,31,2018-08-15 14:28:41+00:00,2026-08-16 08:26:39+00:00,MIT License
machine-learning-for-trading,stefan-jansen,Jupyter Notebook,20477,5520,20477,5,2018-05-09 12:33:08+00:00,2026-08-16 16:43:50+00:00,MIT License
stanford-cs-229-machine-learning,afshinea,Unknown,20109,4248,20109,20,2018-08-04 23:01:00+00:00,2026-08-16 15:52:10+00:00,MIT License
ml-agents,Unity-Technologies,C#,19628,4481,19628,20,2017-09-08 21:09:04+00:00,2026-08-16 10:11:41+00:00,Other
LightGBM,lightgbm-org,C++,18687,4050,18687,512,2016-08-05 05:45:50+00:00,2026-08-16 15:25:34+00:00,MIT License
ml-engineering,stas00,Python,18631,1200,18631,3,2020-09-02 19:23:01+00:00,2026-08-16 16:06:31+00:00,Creative Commons Attribution Share Alike 4.0 International
Machine-Learning-Tutorials,ujjwalkarn,Unknown,18106,3970,18106,47,2015-09-12 14:51:38+00:00,2026-08-16 15:42:48+00:00,Creative Commons Zero v1.0 Universal
ML-NLP,NLP-LOVE,Jupyter Notebook,17793,4629,17793,36,2019-07-05 12:49:53+00:00,2026-08-16 11:29:29+00:00,Unknown
brpc,apache,C++,17582,4130,17582,467,2017-09-04 09:28:47+00:00,2026-08-16 16:12:31+00:00,Apache License 2.0
ML-YouTube-Courses,dair-ai,Unknown,17359,2120,17359,21,2021-06-25 09:39:16+00:00,2026-08-16 08:26:39+00:00,Creative Commons Zero v1.0 Universal
numpy-ml,ddbourgin,Python,16334,3745,16334,48,2019-04-06 22:29:49+00:00,2026-08-14 15:12:21+00:00,GNU General Public License v3.0
